"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries" 1 2 3 4 5 6 7
"Annual"
"Table: null"
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part"

"","Both sexes",,,,,,,,,,,,
"","All ages",,,,,,,,,,,,
"Geography","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","Persons",,,,,,,,,,,,
"St. John's (CMA), Newfoundland and Labrador","183,847","186,173","189,575","193,867","198,553","202,375","204,542","206,260","208,236","209,223","210,996","212,401","212,501"
"Bay Roberts (CA), Newfoundland and Labrador","10,622","10,605","10,694","10,833","10,989","11,069","11,070","11,087","11,155","11,228","11,283","11,338","11,361"
"Grand Falls-Windsor (CA), Newfoundland and Labrador","13,693","13,605","13,609","13,743","13,885","13,973","14,068","14,129","14,292","14,350","14,419","14,388","14,313"
"Gander (CA), Newfoundland and Labrador","11,770","11,907","12,345","12,459","12,713","12,938","13,137","13,204","13,301","13,404","13,510","13,624","13,609"
"Corner Brook (CA), Newfoundland and Labrador","31,362","31,340","31,342","31,595","31,810","32,009","32,092","32,337","32,322","32,380","32,501","32,387","32,060"
"Charlottetown (CA), Prince Edward Island","61,454","61,591","62,433","63,777","65,292","67,613","68,154","68,136","68,693","69,473","71,539","74,497","76,728"
"Summerside (CA), Prince Edward Island","16,371","16,473","16,591","16,631","16,788","16,859","17,013","17,052","16,971","16,911","16,954","17,121","17,325"
"Halifax (CMA), Nova Scotia","384,658","386,402","389,919","393,688","398,356","402,068","404,389","405,615","407,059","408,046","414,020","421,968","430,512"
"Kentville (CA), Nova Scotia","26,650","26,594","26,673","26,763","26,856","26,933","27,011","26,816","26,780","26,637","26,755","26,979","27,301"
"Truro (CA), Nova Scotia","46,226","46,297","46,484","46,790","46,802","46,913","46,926","46,740","46,468","46,330","46,587","46,519","46,432"
"New Glasgow (CA), Nova Scotia","37,172","36,765","36,571","36,594","36,621","36,576","36,301","35,959","35,668","35,287","35,050","34,974","34,869"
"Cape Breton (CA), Nova Scotia","108,217","106,827","105,817","105,057","104,473","103,644","103,116","102,252","101,566","100,653","100,369","99,817","99,805"
"Moncton (CMA), New Brunswick","130,507","132,060","133,860","136,211","138,425","140,695","142,812","144,134","145,608","146,220","148,506","150,492","152,604"
"Saint John (CMA), New Brunswick","126,151","126,700","127,554","128,691","129,425","129,917","129,827","129,234","128,548","128,317","128,931","129,549","130,107"
"Fredericton (CA), New Brunswick","92,589","93,391","94,586","96,273","97,869","99,347","100,355","101,512","102,174","102,967","104,363","106,227","108,054"
"Bathurst (CA), New Brunswick","32,998","32,735","32,509","32,367","32,235","31,973","31,952","31,837","31,679","31,673","31,687","31,672","31,665"
"Miramichi (CA), New Brunswick","29,328","29,054","28,768","28,503","28,383","28,148","28,215","28,169","28,130","28,003","28,034","27,969","27,983"
"Edmundston (CA), New Brunswick","24,438","24,295","24,141","24,023","23,973","23,891","24,007","23,910","23,913","23,928","23,961","23,986","24,029"
"Campbellton (CA), New Brunswick/Quebec","17,683","17,592","17,531","17,463","17,425","17,367","17,131","16,881","16,649","16,510","16,273","16,178","16,134"
"Campbellton (CA), New Brunswick part, New Brunswick","14,592","14,444","14,325","14,187","14,105","14,040","13,863","13,692","13,540","13,475","13,355","13,259","13,170"
"Campbellton (CA), Quebec part, Quebec","3,091","3,148","3,206","3,276","3,320","3,327","3,268","3,189","3,109","3,035","2,918","2,919","2,964"
"Matane (CA), Quebec","18,792","18,763","18,726","18,575","18,512","18,459","18,453","18,317","18,182","17,963","17,987","17,925","17,810"
"Rimouski (CA), Quebec","52,039","52,360","52,793","53,008","53,482","54,234","54,630","54,752","55,069","55,338","55,562","55,690","55,840"
"Rivière-du-Loup (CA), Quebec","27,825","28,244","28,449","28,770","28,977","29,221","29,166","29,291","29,196","29,019","29,004","29,239","29,458"
"Baie-Comeau (CA), Quebec","29,494","29,220","28,870","28,788","28,640","28,690","28,747","28,638","28,457","28,113","27,725","27,540","27,202"
"Saguenay (CMA), Quebec","158,043","158,111","158,707","158,938","159,636","160,289","161,163","161,439","161,351","161,355","161,457","161,667","162,057"
"Alma (CA), Quebec","32,076","32,163","32,485","32,746","33,005","33,270","33,260","33,201","33,146","32,997","32,935","32,916","32,819"
"Dolbeau-Mistassini (CA), Quebec","16,109","15,966","15,977","16,017","15,869","15,910","15,917","15,867","15,813","15,725","15,647","15,517","15,529"
"Sept-Îles (CA), Quebec","28,059","28,143","28,291","28,385","28,463","28,804","28,989","29,176","29,164","28,843","28,585","28,315","28,287"
"Québec (CMA), Quebec","729,611","738,487","748,407","758,345","768,374","777,921","783,564","789,096","794,169","798,937","804,916","810,723","817,408"
"Sainte-Marie (CA), Quebec","11,701","11,963","12,193","12,513","12,785","13,024","13,132","13,372","13,481","13,613","13,621","13,724","13,807"
"Saint-Georges (CA), Quebec","29,915","30,178","30,462","30,787","31,084","31,519","31,780","31,966","32,214","32,476","32,665","32,814","33,206"
"Thetford Mines (CA), Quebec","29,136","28,947","28,866","28,941","28,949","29,077","28,934","28,771","28,634","28,477","28,499","28,622","28,729"
"Sherbrooke (CMA), Quebec","193,295","194,838","196,418","198,786","201,680","204,637","206,578","208,360","209,690","210,665","213,409","215,786","218,797"
"Cowansville (CA), Quebec","12,264","12,272","12,332","12,360","12,396","12,613","12,860","13,105","13,313","13,458","13,740","14,050","14,297"
"Victoriaville (CA), Quebec","43,536","44,264","44,981","45,455","46,041","46,819","47,370","47,869","48,535","48,867","49,307","49,667","50,154"
"Trois-Rivières (CMA), Quebec","145,685","147,126","148,502","150,112","151,903","153,197","153,875","154,344","155,187","155,683","156,816","158,118","159,078"
"Shawinigan (CA), Quebec","56,176","56,128","55,860","55,471","55,145","54,775","54,669","54,618","54,485","54,269","54,291","54,223","54,292"
"Drummondville (CA), Quebec","86,487","87,308","88,621","89,795","90,964","92,159","93,046","93,869","94,710","95,557","96,586","97,848","98,758"
"Granby (CA), Quebec","75,560","76,543","77,479","78,667","80,316","81,660","82,445","83,243","83,963","84,522","85,435","86,540","87,603"
"Saint-Hyacinthe (CA), Quebec","55,377","55,872","56,255","56,545","57,116","57,328","58,065","58,517","59,086","59,414","59,862","60,011","60,133"
"Sorel-Tracy (CA), Quebec","41,102","41,307","41,432","41,504","41,639","41,785","41,700","41,662","41,779","41,707","41,706","41,612","41,566"
"Joliette (CA), Quebec","43,639","44,188","44,911","45,867","46,824","47,336","47,851","48,671","49,278","49,508","49,503","50,112","50,558"
"Montréal (CMA), Quebec","3,787,447","3,820,627","3,859,334","3,907,597","3,953,773","3,994,470","4,031,844","4,066,568","4,093,777","4,109,805","4,140,431","4,189,425","4,255,541"
"Salaberry-de-Valleyfield (CA), Quebec","39,888","40,020","40,070","40,156","40,190","40,413","40,339","40,541","40,637","40,820","40,909","41,282","41,663"
"Lachute (CA), Quebec","11,900","11,955","12,070","12,222","12,423","12,659","12,735","12,766","12,759","12,931","12,881","12,908","13,063"
"Val-d'Or (CA), Quebec","32,534","32,900","33,157","33,289","33,352","33,586","33,914","34,042","34,002","33,977","34,052","34,073","34,201"
"Rouyn-Noranda (CA), Quebec","40,273","40,387","40,615","40,870","41,099","41,461","41,678","41,923","42,160","42,234","42,550","42,827","42,887"
"Hawkesbury (CA), Ontario/Quebec","12,616","12,484","12,414","12,409","12,404","12,374","12,421","12,523","12,431","12,341","12,190","12,404","12,502"
"Hawkesbury (CA), Ontario part, Ontario","11,201","11,098","11,015","10,931","10,884","10,776","10,820","10,845","10,740","10,635","10,473","10,604","10,691"
"Hawkesbury (CA), Quebec part, Quebec","1,415","1,386","1,399","1,478","1,520","1,598","1,601","1,678","1,691","1,706","1,717","1,800","1,811"
"Ottawa - Gatineau (CMA), Ontario/Quebec","1,189,979","1,205,632","1,225,487","1,246,116","1,268,687","1,288,388","1,303,536","1,314,961","1,326,352","1,337,089","1,358,141","1,384,939","1,414,399"
"Ottawa - Gatineau (CMA), Ontario part, Ontario","896,678","907,573","921,850","936,513","952,773","966,549","978,514","987,646","996,968","1,006,110","1,023,782","1,047,974","1,074,524"
"Ottawa - Gatineau (CMA), Quebec part, Quebec","293,301","298,059","303,637","309,603","315,914","321,839","325,022","327,315","329,384","330,979","334,359","336,965","339,875"
"Cornwall (CA), Ontario","60,442","60,340","60,298","60,320","60,385","60,447","60,554","60,371","60,547","60,773","61,168","61,460","61,816"
"Arnprior (CA), Ontario","14,888","15,062","15,265","15,484","15,695","15,891","16,086","16,182","16,284","16,316","16,355","16,651","16,957"
"Carleton Place (CA), Ontario","28,580","28,778","28,935","29,198","29,657","29,964","30,361","30,771","31,276","31,763","32,270","33,400","34,499"
"Brockville (CA), Ontario","40,976","40,747","40,567","40,247","40,170","39,936","39,341","39,307","39,340","39,329","39,508","39,728","39,968"
"Pembroke (CA), Ontario","24,008","24,241","24,387","24,457","24,560","24,645","24,934","24,798","24,383","24,066","23,813","23,897","23,970"
"Petawawa (CA), Ontario","15,419","15,700","15,985","16,187","16,414","16,664","16,662","16,998","17,510","17,697","17,851","17,995","18,233"
"Kingston (CMA), Ontario","158,214","158,849","160,029","161,564","163,013","164,290","164,326","163,786","163,996","164,304","166,007","169,655","173,450"
"Belleville (CMA), Ontario","104,194","104,664","104,767","104,515","104,415","104,359","104,710","104,800","105,065","105,403","106,285","107,957","109,932"
"Cobourg (CA), Ontario","18,786","18,783","18,810","18,828","18,856","18,963","19,414","19,537","19,695","19,842","19,807","20,024","20,296"
"Port Hope (CA), Ontario","16,904","16,852","16,778","16,732","16,661","16,609","16,561","16,695","16,824","16,977","17,161","17,487","17,726"
"Peterborough (CMA), Ontario","120,631","120,672","121,059","121,064","121,921","122,159","122,472","122,926","122,713","123,170","124,844","127,342","131,283"
"Kawartha Lakes (CA), Ontario","76,876","76,177","75,958","75,330","75,090","74,955","75,523","75,735","75,942","76,492","77,293","78,487","79,667"
"Centre Wellington (CA), Ontario","26,965","26,996","27,077","27,092","27,252","27,385","27,640","27,776","28,091","28,437","29,005","29,501","30,056"
"Oshawa (CMA), Ontario","344,313","347,901","352,767","357,274","362,506","367,069","372,378","376,918","381,132","385,448","391,886","398,488","405,631"
"Ingersoll (CA), Ontario","12,208","12,204","12,263","12,316","12,393","12,507","12,663","12,733","12,785","12,946","13,129","13,369","13,644"
"Toronto (CMA), Ontario","5,334,382","5,415,765","5,501,325","5,588,312","5,681,126","5,767,925","5,852,602","5,932,107","5,999,197","6,045,227","6,125,113","6,216,637","6,341,935"
"Hamilton (CMA), Ontario","719,331","721,376","725,665","730,354","736,875","741,957","748,208","752,751","757,183","761,440","768,951","777,821","786,641"
"St. Catharines - Niagara (CMA), Ontario","404,032","402,845","401,785","401,517","402,182","402,631","404,524","405,884","407,869","411,035","416,362","422,378","429,036"
"Kitchener - Cambridge - Waterloo (CMA), Ontario","488,325","492,486","497,508","501,631","506,907","512,560","517,328","521,407","525,267","530,223","542,011","553,500","567,740"
"Brantford (CMA), Ontario","135,499","136,502","136,995","137,724","138,488","139,376","139,845","140,690","141,416","142,308","143,863","145,590","147,548"
"Woodstock (CA), Ontario","37,215","37,351","37,735","37,949","38,393","38,895","39,970","40,475","41,191","41,503","42,101","43,086","44,319"
"Tillsonburg (CA), Ontario","15,329","15,341","15,406","15,449","15,580","15,685","16,116","16,130","16,214","16,159","16,230","16,649","16,982"
"Norfolk (CA), Ontario","64,775","64,615","64,776","64,803","64,809","64,722","64,434","64,264","64,487","65,296","66,062","67,014","68,681"
"Guelph (CMA), Ontario","139,303","140,239","141,550","142,773","144,324","145,638","147,992","149,603","151,682","153,690","157,082","159,937","162,612"
"Stratford (CA), Ontario","31,690","31,662","31,605","31,652","31,670","31,705","31,855","31,912","31,961","32,130","32,286","32,770","33,230"
"London (CMA), Ontario","475,886","478,557","481,970","483,908","486,555","489,094","491,853","494,107","497,042","500,683","508,988","520,409","532,984"
"Chatham-Kent (CA), Ontario","112,357","111,170","109,964","108,767","107,512","106,670","105,979","105,461","105,118","104,502","104,775","105,304","105,877"
"Leamington (CA), Ontario","51,710","51,480","51,212","51,096","51,212","51,184","50,625","49,982","49,658","50,576","53,647","53,273","52,202"
"Windsor (CMA), Ontario","336,314","335,457","332,569","329,634","328,520","328,313","329,884","334,322","336,225","336,169","337,181","341,141","349,718"
"Sarnia (CA), Ontario","99,595","99,577","99,584","99,528","99,588","99,617","99,547","99,052","98,810","98,359","98,137","98,583","99,625"
"Wasaga Beach (CA), Ontario","15,504","15,972","16,500","16,972","17,474","17,964","18,657","19,251","19,898","20,495","21,109","22,042","22,879"
"Owen Sound (CA), Ontario","33,339","33,215","33,187","33,093","33,041","32,868","32,663","32,624","32,670","32,604","32,593","32,911","33,199"
"Collingwood (CA), Ontario","17,900","18,209","18,621","18,937","19,356","19,756","20,454","20,920","21,304","21,805","22,394","22,665","23,047"
"Barrie (CMA), Ontario","184,452","186,501","188,167","189,558","191,021","192,644","194,432","196,358","198,227","199,881","203,246","206,592","210,800"
"Orillia (CA), Ontario","31,334","31,374","31,396","31,330","31,408","31,423","31,792","31,706","32,055","32,127","31,934","32,580","33,136"
"Midland (CA), Ontario","36,657","36,531","36,498","36,370","36,333","36,304","36,137","36,212","36,294","36,467","36,810","38,037","39,191"
"North Bay (CA), Ontario","74,361","74,134","74,158","74,133","74,411","74,461","74,078","73,551","73,175","72,777","72,359","73,206","73,585"
"Greater Sudbury (CMA), Ontario","166,751","167,308","168,016","168,148","167,687","167,609","168,197","168,672","168,515","168,611","169,134","169,632","171,471"
